model,layer,n_layers,layer_frac,roi,rsa_mean,rsa_sem,noise_ceiling,rsa_noise_corrected
ast,0,13,0.0,Primary,0.13705131754725414,0.009501985909600105,0.6685215050960995,0.20500659515441183
ast,1,13,0.08333333333333333,Primary,0.23672190827973008,0.012411268510450794,0.6685215050960995,0.3540976714663823
ast,2,13,0.16666666666666666,Primary,0.24475308274009683,0.012992582530255014,0.6685215050960995,0.36611100895686777
ast,3,13,0.25,Primary,0.29090611066608163,0.016230571456321032,0.6685215050960995,0.4351484708397886
ast,4,13,0.3333333333333333,Primary,0.283134084777415,0.017405178759198434,0.6685215050960995,0.42352277768044966
ast,5,13,0.4166666666666667,Primary,0.3112962851696387,0.013532946143613537,0.6685215050960995,0.46564887261912397
ast,6,13,0.5,Primary,0.3550123722782987,0.01937521494961016,0.6685215050960995,0.5310410653540096
ast,7,13,0.5833333333333334,Primary,0.2655299781048598,0.013232813926615381,0.6685215050960995,0.3971898825703296
ast,8,13,0.6666666666666666,Primary,0.24681514510946617,0.014556558880939518,0.6685215050960995,0.36919552060481087
ast,9,13,0.75,Primary,0.21638151129592964,0.01399184554331112,0.6685215050960995,0.32367172880223943
ast,10,13,0.8333333333333334,Primary,0.22785059689762027,0.01161376886323463,0.6685215050960995,0.34082762508121095
ast,11,13,0.9166666666666666,Primary,0.21648810049879014,0.013432641921972625,0.6685215050960995,0.32383116900281333
ast,12,13,1.0,Primary,0.1967115995062103,0.012767838472184982,0.6685215050960995,0.294248723499079
hubert,0,25,0.0,Primary,0.31037657357236204,0.01767692310025072,0.6685215050960995,0.46427313288559896
hubert,1,25,0.041666666666666664,Primary,0.3530625895502757,0.018472901755031627,0.6685215050960995,0.5281245058818612
hubert,2,25,0.08333333333333333,Primary,0.3539336335149494,0.01699767228122028,0.6685215050960995,0.5294274467117878
hubert,3,25,0.125,Primary,0.34113162584999857,0.014329583629353715,0.6685215050960995,0.5102777147026274
hubert,4,25,0.16666666666666666,Primary,0.32733389907962707,0.013369677277364161,0.6685215050960995,0.48963854802632417
hubert,5,25,0.20833333333333334,Primary,0.2993538989671401,0.014606930730108495,0.6685215050960995,0.4477849952248106
hubert,6,25,0.25,Primary,0.26045292631596295,0.015703009574544437,0.6685215050960995,0.38959543459790874
hubert,7,25,0.2916666666666667,Primary,0.23348510459352656,0.015597049717982595,0.6685215050960995,0.3492559368901128
hubert,8,25,0.3333333333333333,Primary,0.21617167331771836,0.01792587741751498,0.6685215050960995,0.32335784514014076
hubert,9,25,0.375,Primary,0.19329832124321317,0.020094337736576224,0.6685215050960995,0.2891430115107915
hubert,10,25,0.4166666666666667,Primary,0.18418876002393214,0.022628203216025503,0.6685215050960995,0.2755165819197621
hubert,11,25,0.4583333333333333,Primary,0.15410090494413634,0.02499409320734496,0.6685215050960995,0.23051001915336206
hubert,12,25,0.5,Primary,0.13383063970097606,0.026192865329258623,0.6685215050960995,0.20018898222539303
hubert,13,25,0.5416666666666666,Primary,0.13438289039568857,0.02863264377457466,0.6685215050960995,0.2010150599065188
hubert,14,25,0.5833333333333334,Primary,0.1349303932156421,0.029983119723656908,0.6685215050960995,0.2018340355352457
hubert,15,25,0.625,Primary,0.12880297826044784,0.031299447646509805,0.6685215050960995,0.19266841422241532
hubert,16,25,0.6666666666666666,Primary,0.12029117080177862,0.032802000416932084,0.6685215050960995,0.17993612753637123
hubert,17,25,0.7083333333333334,Primary,0.13183795807539067,0.03244410128342416,0.6685215050960995,0.19720825294384367
hubert,18,25,0.75,Primary,0.12326391647084961,0.032813739440904585,0.6685215050960995,0.18438287404551107
hubert,19,25,0.7916666666666666,Primary,0.11309158807877207,0.03384035595469847,0.6685215050960995,0.16916671672740763
hubert,20,25,0.8333333333333334,Primary,0.11406368897371646,0.03323266992988591,0.6685215050960995,0.1706208223732756
hubert,21,25,0.875,Primary,0.1424555999138018,0.02856507018256855,0.6685215050960995,0.2130905271227197
hubert,22,25,0.9166666666666666,Primary,0.13856451051583268,0.026963283650970078,0.6685215050960995,0.2072700869898181
hubert,23,25,0.9583333333333334,Primary,0.16622641557208215,0.02146250188646956,0.6685215050960995,0.24864782105728553
hubert,24,25,1.0,Primary,0.16467188360448703,0.02213533975344014,0.6685215050960995,0.24632249276830004
wav2vec2,0,25,0.0,Primary,0.3645247604331975,0.02063698376361922,0.6685215050960995,0.5452700588604061
wav2vec2,1,25,0.041666666666666664,Primary,0.31593003236352196,0.01465603035914814,0.6685215050960995,0.4725802086473003
wav2vec2,2,25,0.08333333333333333,Primary,0.3145818705684706,0.013968051286933325,0.6685215050960995,0.470563576744251
wav2vec2,3,25,0.125,Primary,0.30302171605735573,0.0154894727891182,0.6685215050960995,0.4532714561123902
wav2vec2,4,25,0.16666666666666666,Primary,0.29150501910707804,0.016606304223182416,0.6685215050960995,0.43604434095979366
wav2vec2,5,25,0.20833333333333334,Primary,0.2707591637399225,0.01858456039409596,0.6685215050960995,0.40501189816025596
wav2vec2,6,25,0.25,Primary,0.23783413630195127,0.022913352011881865,0.6685215050960995,0.35576138462107176
wav2vec2,7,25,0.2916666666666667,Primary,0.1909641535189645,0.027090236014918456,0.6685215050960995,0.28565147428056714
wav2vec2,8,25,0.3333333333333333,Primary,0.1425627104188348,0.031816447309332745,0.6685215050960995,0.21325074710699324
wav2vec2,9,25,0.375,Primary,0.11488550177819869,0.034059639662978945,0.6685215050960995,0.17185012135351424
wav2vec2,10,25,0.4166666666666667,Primary,0.05444127872409471,0.03617141904688254,0.6685215050960995,0.08143534397785575
wav2vec2,11,25,0.4583333333333333,Primary,0.08527656926424557,0.03523797235008575,0.6685215050960995,0.12755994925247335
