category,n_stimuli,model,layer,n_layers,layer_pct,rsa_mean,rsa_sem,noise_ceiling
Music,24,hubert,11,25,45.833333333333336,0.24173193875658167,0.011720057221919024,0.7720217177266305
Music,24,hubert,12,25,50.0,0.22356424708551534,0.010968832111179098,0.7720217177266305
Music,24,hubert,13,25,54.166666666666664,0.23226968793253522,0.00990604929529514,0.7720217177266305
Music,24,hubert,14,25,58.333333333333336,0.22971692755525747,0.010175596205047358,0.7720217177266305
Music,24,hubert,15,25,62.5,0.2040114439006293,0.010051478917625364,0.7720217177266305
Music,24,hubert,16,25,66.66666666666667,0.1735369929082062,0.009429729430858486,0.7720217177266305
Music,24,hubert,17,25,70.83333333333333,0.18070281531370844,0.009024972273573663,0.7720217177266305
Music,24,hubert,18,25,75.0,0.1850052082590146,0.008379296082514847,0.7720217177266305
Music,24,hubert,19,25,79.16666666666667,0.18486716799132435,0.008611775344804867,0.7720217177266305
Music,24,hubert,20,25,83.33333333333333,0.20371170502704014,0.008751752731409232,0.7720217177266305
Music,24,hubert,21,25,87.5,0.23746090951898519,0.009085437748399483,0.7720217177266305
Music,24,hubert,22,25,91.66666666666667,0.19121165508483043,0.010169628571388695,0.7720217177266305
Music,24,hubert,23,25,95.83333333333333,0.30065963670609724,0.010945593455100676,0.7720217177266305
Music,24,hubert,24,25,100.0,0.27127412565459974,0.011627806383445823,0.7720217177266305
Music,24,wavlm,0,13,0.0,0.34549975028895136,0.01806469589966864,0.7720217177266305
Music,24,wavlm,1,13,8.333333333333334,0.3632525220815913,0.009998088880299644,0.7720217177266305
Music,24,wavlm,2,13,16.666666666666668,0.2629669382571596,0.01350787253208442,0.7720217177266305
Music,24,wavlm,3,13,25.0,0.3806856351935618,0.01346981397832072,0.7720217177266305
Music,24,wavlm,4,13,33.333333333333336,0.41879707766727076,0.013086922621931688,0.7720217177266305
Music,24,wavlm,5,13,41.666666666666664,0.44744207417131604,0.014619060046947002,0.7720217177266305
Music,24,wavlm,6,13,50.0,0.47934801158659274,0.015723993567588603,0.7720217177266305
Music,24,wavlm,7,13,58.333333333333336,0.5042135243503946,0.01679767434826302,0.7720217177266305
Music,24,wavlm,8,13,66.66666666666667,0.4996747763302465,0.01578099591262839,0.7720217177266305
Music,24,wavlm,9,13,75.0,0.4597454659608167,0.014307725869558795,0.7720217177266305
Music,24,wavlm,10,13,83.33333333333333,0.49170739572780076,0.015332494530102663,0.7720217177266305
Music,24,wavlm,11,13,91.66666666666667,0.5204801586735348,0.01284694583073495,0.7720217177266305
Music,24,wavlm,12,13,100.0,0.49771647094076865,0.013447517544846424,0.7720217177266305
Music,24,whisper,0,7,0.0,0.18321673492102,0.01333064907832412,0.7720217177266305
Music,24,whisper,1,7,16.666666666666668,0.27283774489519275,0.014262729136841547,0.7720217177266305
Music,24,whisper,2,7,33.333333333333336,0.22765927997602775,0.011414014411924484,0.7720217177266305
Music,24,whisper,3,7,50.0,0.23986304419172105,0.01340323842330185,0.7720217177266305
Music,24,whisper,4,7,66.66666666666667,0.23992257530571764,0.014574284340375636,0.7720217177266305
Music,24,whisper,5,7,83.33333333333333,0.27002265949401416,0.014132168496935323,0.7720217177266305
